priority,field,campaign,ad_group,row_type,current,suggested,note
CRITICAL,Final URL,兵庫県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/hyogo/oshikko/,https://carinteriorcleaning.jp/regions/hyogo/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,兵庫県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/hyogo/oshikko/,https://carinteriorcleaning.jp/regions/hyogo/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,福岡県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/fukuoka/oshikko/,https://carinteriorcleaning.jp/regions/fukuoka/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,福岡県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/fukuoka/oshikko/,https://carinteriorcleaning.jp/regions/fukuoka/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,群馬県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/gunma/oshikko/,https://carinteriorcleaning.jp/regions/gunma/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,群馬県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/gunma/oshikko/,https://carinteriorcleaning.jp/regions/gunma/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,栃木県＿車内クリーニング,車　 おもらし,KW:車 おもらし,https://carinteriorcleaning.jp/regions/tochigi/oshikko/,https://carinteriorcleaning.jp/regions/tochigi/omorashi/,おもらしKWがおしっこLPに着地
CRITICAL,Final URL,栃木県＿車内クリーニング,AG_緊急_ペット,KW:車 おもらし シート 洗浄,https://carinteriorcleaning.jp/regions/tochigi/oshikko/,https://carinteriorcleaning.jp/regions/tochigi/omorashi/,おもらしKWがおしっこLPに着地
HIGH,Path 2,(全キャンペーン),(非嘔吐テーマAG),RSA Path2,嘔吐ニオイ清掃,テーマ別パスへ置換,詳細は kw-lp-mismatch-path2-2026-07-26.csv（422行）
MEDIUM,Description,(残5件),緊急_ペット等,RSA説明文,ペット毛文言,AGテーマ文言,reaudit参照
MEDIUM,Final URL空,int*_通常清掃 / 消臭AG,Enabled QS KW,Keyword行,(空),テーマLPを設定,quality-score-by-keyword-2026-07-26.csv の no-url
