priority,issue,campaign,ad_group,keyword,quality_score,current_url,suggested_final_url,note
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店,4,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 ルーム クリーニング,6,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 クリーニング,7,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 業者,7,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 車内 清掃,5,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 ゲロ 掃除,3,,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 の クリーニング,7,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 クリーニング 嘔吐,5,,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 掃除,1,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 嘔吐 クリーニング,4,,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 ゲロ 掃除,3,,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 清掃,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店 大阪,6,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車 車内 消 臭,1,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 剤,3,,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 業者,6,,https://carinteriorcleaning.jp/regions/miyagi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 店 宮城,4,,https://carinteriorcleaning.jp/regions/miyagi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,愛知県＿車内クリーニング,int愛知_通常清掃,車内 クリーニング 専門 業者,3,,https://carinteriorcleaning.jp/regions/aichi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,愛知県＿車内クリーニング,int愛知_通常清掃,車内 クリーニング 専門 店 愛知,5,,https://carinteriorcleaning.jp/regions/aichi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,千葉県＿車内クリーニング,int千葉_通常清掃,車内 清掃 プロ,6,,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,千葉県＿車内クリーニング,int千葉_通常清掃,車内 クリーニング 専門 業者,7,,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,千葉県＿車内クリーニング,int千葉_通常清掃,車内 クリーニング 専門 店 千葉,6,,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,千葉県＿車内クリーニング,int千葉_通常清掃,車内 嘔吐 臭い 消し,1,,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,兵庫県＿車内クリーニング,int兵庫_通常清掃,車内 クリーニング 専門 業者,7,,https://carinteriorcleaning.jp/regions/hyogo/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,兵庫県＿車内クリーニング,int兵庫_通常清掃,車内 クリーニング 専門 店 兵庫,7,,https://carinteriorcleaning.jp/regions/hyogo/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,兵庫県＿車内クリーニング,int兵庫_通常清掃,車内 吐い た 掃除,3,,https://carinteriorcleaning.jp/regions/hyogo/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 業者,5,,https://carinteriorcleaning.jp/regions/fukuoka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 店 福岡,6,,https://carinteriorcleaning.jp/regions/fukuoka/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,福岡県＿車内クリーニング,int福岡_通常清掃,車内 嘔吐 臭い 消し,3,,https://carinteriorcleaning.jp/regions/fukuoka/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,群馬県＿車内クリーニング,int群馬_通常清掃,車内 清掃 プロ,8,,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,群馬県＿車内クリーニング,int群馬_通常清掃,車内 クリーニング 専門 業者,1,,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,群馬県＿車内クリーニング,int群馬_通常清掃,車内 嘔吐 臭い 消し,3,,https://carinteriorcleaning.jp/regions/gunma/kyuto-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,栃木県＿車内クリーニング,int栃木_通常清掃,車内 清掃 プロ,1,,https://carinteriorcleaning.jp/regions/tochigi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,empty_final_url_qs,栃木県＿車内クリーニング,int栃木_通常清掃,車内 クリーニング 専門 業者,7,,https://carinteriorcleaning.jp/regions/tochigi/interior-cleaning/,QS keyword missing Final URL — set before expecting LPE lift
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 室内 クリーニング,7,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車内 清掃,3,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車内 洗浄,5,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 ルーム クリーニング,2,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 の 内装 掃除,3,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,トラック 室内 清掃,8,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 掃除,1,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 清掃 業者,5,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 車内 清掃,3,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング 専門 店,5,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車 エアコン 臭い,3,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング,5,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,大阪府＿車内クリーニング,int トラック大阪,車内 掃除,3,https://carinteriorcleaning.jp/regions/osaka-truck/,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,愛知県＿車内クリーニング,int トラック愛知,トラック 臭い 消し,1,https://carinteriorcleaning.jp/regions/aichi-truck/,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/,Passenger KW should not land on truck hub
P0,truck_hub_passenger_kw_qs,福岡県＿車内クリーニング,int トラック福岡,トラック 臭い 消し,3,https://carinteriorcleaning.jp/regions/fukuoka-truck/,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/,Passenger KW should not land on truck hub
